factory,area,line,machine,sparepart,code,position
General,DATCO,DATCO,DATCO,Bearing HK 2020,1000423329,C2A1A
General,DATCO,DATCO,DATCO,Bearing _ NK 40/30,10295914,B3C3B
General,DATCO,DATCO,DATCO,Bearing _G312,10295923,B3C3A
General,DATCO,DATCO,DATCO,Datco_Bearing 626 -2RSH-C3,1000430727,C2A1B
Powder,Make,Section 62,62P1,P.M_HPP_Gasket_O-ring-3500-NBR-Pos-117,10223244,D2A4B
Powder,Make,Section 62,62P1,P.M_HPP_Gasket_O-ring-4425-Pos-108,10222996,D2A4A
Powder,Make,Section 62,62P1,"P.M_SteamTrap3/4""",1000420420,D1A3A
Powder,Make,Section 62,62P1,P.M_TaperBushing,1000429866,D1A3C
Powder,Make,Section 63,High Pressure Pump,Bursting Discs -sfaz-bi-316s.s,10296674,A3C1A
Powder,Make,Section 63,High Pressure Pump,P.M_Module_Input1794-IE8,10296675,A3C1D
Powder,Make,Section 63,High Pressure Pump,"Safety Valve 1/2""-s10",10296678,A3C1E
Powder,Make,Section 63,High Pressure Pump,Temperature ControllerQD 11,1000421476,B2A4B
Powder,Pack,Line 2,Bosch,P.F_Bosch_DustExtraction,10223168,E2B2B
Powder,Pack,Line 2,Bosch,P.F_Bosch_VacuumAccessories_8101953664,10223172,E2B2A
Powder,Pack,Line 2,Pada,Ball Valve,10297562,E1D7A
Powder,Pack,Line 2,Pada,CheckWeigherShaft19x12x40x52x23x15x40x25,10280187,E1D2E
Powder,Pack,Line 2,Pada,Cheque Wear _Timing Belt T5-560-18MM,10251622,E1B7F
Powder,Pack,Line 2,Pada,Gearbox_20181106_I/20_Flange-63B14,10295322,E1A3E
Powder,Pack,Line 2,Pada,Magnetic Guard 4002278925,10297759,E1A7F
Powder,Pack,Line 2,Pada,Magnetic Guard Switch 4002210049,10297758,E1A7E
Powder,Pack,Line 2,Pada,Motor Circuit BreakerGV2-380V_140A-C2A,10251422,E1A7A
Powder,Pack,Line 2,Pada,O.P_Power supply _SDR-120-24V-DC-5A,10162504,E1A7C
Powder,Pack,Line 2,Pada,Over Load 3RU2126-1DB0_SIEMENS,10263830,E1A8A
Powder,Pack,Line 2,Pada,P.F_Analog Output _EL4002,10263833,E1A8D
Powder,Pack,Line 2,Pada,P.F_Bus End Terminol_EL9010,10263837,E1A8H
Powder,Pack,Line 2,Pada,P.F_Channel Analog Input_EL3204,10263835,E1A8F
Powder,Pack,Line 2,Pada,P.F_Digital Output-24 DC/0.5A_EL2008,10263832,E1A8C
Powder,Pack,Line 2,Pada,P.F_Digital Output-24 DC_EL1012,10263834,E1A8E
Powder,Pack,Line 2,Pada,P.F_PadaProximityNBBO-8-5gm25e2v3-120377,10224981,E1A4B
Powder,Pack,Line 2,Pada,P.F_PadaSolletape belt-Guide 185CMX8.5CM,10297716,E1B7E
Powder,Pack,Line 2,Pada,P.F_Pada_ Bag cleanlineing Roller,10222976,E1D4A
Powder,Pack,Line 2,Pada,P.F_Pada_ Cylinder DSNU 25-25,10222974,E1D3B
Powder,Pack,Line 2,Pada,P.F_Pada_ Proximity I12000759_SI12SM-BE4,10230839,E1A7E
Powder,Pack,Line 2,Pada,P.F_Pada_ Solinoid Nordson_1069207-24V D,10230842,E1A7D
Powder,Pack,Line 2,Pada,P.F_Pada_ motor_inverters_ATV32H075M2,10222978,E1A6A
Powder,Pack,Line 2,Pada,"P.F_Pada_10""touch_screen_HM1GX05502",10222984,E1A2A
Powder,Pack,Line 2,Pada,P.F_Pada_Adjusting Wheel ?200mm,10222972,E1D6A
Powder,Pack,Line 2,Pada,P.F_Pada_Aluminum-Right Arm,10226229,E1D6F
Powder,Pack,Line 2,Pada,P.F_Pada_BOX Holder 30x30mmm,10224994,E1B6C
Powder,Pack,Line 2,Pada,P.F_Pada_BOX Holder 50x45mm,10224995,E1B6D
Powder,Pack,Line 2,Pada,P.F_Pada_Bearing 6206-2Z/C3,10224993,E1B6B
Powder,Pack,Line 2,Pada,P.F_Pada_Cable Plashe Clips,10224996,E1A4D
Powder,Pack,Line 2,Pada,"P.F_Pada_Chain Link 1""x25cm",10222975,E1C3A
Powder,Pack,Line 2,Pada,"P.F_Pada_Chain Lock 1.5""",10222967,E1C3B
Powder,Pack,Line 2,Pada,P.F_Pada_Circuit Braker Single 10A,10224986,E1A6B
Powder,Pack,Line 2,Pada,P.F_Pada_Circuit Braker Single 16A,10224987,E1A6C
Powder,Pack,Line 2,Pada,P.F_Pada_Circuit Braker Single 20A,10224988,E1A6D
Powder,Pack,Line 2,Pada,P.F_Pada_Circuit Braker Single 25A,10224989,E1A6F
Powder,Pack,Line 2,Pada,P.F_Pada_Circuit Braker Single 2A,10224983,E1A5C
Powder,Pack,Line 2,Pada,P.F_Pada_Circuit Braker Single 4A,10224984,E1A5D
Powder,Pack,Line 2,Pada,P.F_Pada_Circuit Braker Single 6A,10224985,E1A5E
Powder,Pack,Line 2,Pada,P.F_Pada_Conveyor guide,10222977,E1B2A
Powder,Pack,Line 2,Pada,P.F_Pada_Cylinder DSNU 25-125-PPVA,10224976,E1D3A
Powder,Pack,Line 2,Pada,"P.F_Pada_Hengs 2""",10224973,E1C5B
Powder,Pack,Line 2,Pada,P.F_Pada_Linear_Bearing LME40UU,10224992,E1B5B
Powder,Pack,Line 2,Pada,P.F_Pada_Main Drive Shaft 750mm,10222970,E1B3A
Powder,Pack,Line 2,Pada,P.F_Pada_Main Drive Shaft 850mm,10224990,E1B3B
Powder,Pack,Line 2,Pada,P.F_Pada_Nordson_Glue-Nozzle_322016,10226217,E1B7B
Powder,Pack,Line 2,Pada,P.F_Pada_O-Ring 2mmx40mm,10224971,E1C3D
Powder,Pack,Line 2,Pada,P.F_Pada_Oring Belt _5mmx199cm,10257853,E1C8A
Powder,Pack,Line 2,Pada,P.F_Pada_Oring Belt _6MMX1600MM,10251626,E1C7A
Powder,Pack,Line 2,Pada,P.F_Pada_Piston _N1200-600_Size 62CM,10230841,E1D4F
